dataset,soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
SCCS,1,,,AnnualMeanPrecipitation,17684.0747,,,,
SCCS,2,,,AnnualMeanPrecipitation,89005.31128,,,,
SCCS,3,,,AnnualMeanPrecipitation,134197.5831,,,,
SCCS,4,,,AnnualMeanPrecipitation,105957.4902,,,,
SCCS,5,,,AnnualMeanPrecipitation,122664.1291,,,,
SCCS,6,,,AnnualMeanPrecipitation,138862.8088,,,,
SCCS,7,,,AnnualMeanPrecipitation,126297.4775,,,,
SCCS,8,,,AnnualMeanPrecipitation,110479.4138,,,,
SCCS,9,,,AnnualMeanPrecipitation,86607.65894,,,,
SCCS,10,,,AnnualMeanPrecipitation,116820.557,,,,
SCCS,11,,,AnnualMeanPrecipitation,48525.62043,,,,
SCCS,12,,,AnnualMeanPrecipitation,136714.3062,,,,
SCCS,13,,,AnnualMeanPrecipitation,246503.2234,,,,
SCCS,14,,,AnnualMeanPrecipitation,196079.7625,,,,
SCCS,15,,,AnnualMeanPrecipitation,202490.323,,,,
SCCS,16,,,AnnualMeanPrecipitation,150153.6253,,,,
SCCS,17,,,AnnualMeanPrecipitation,138728.1945,,,,
SCCS,18,,,AnnualMeanPrecipitation,118937.9075,,,,
SCCS,19,,,AnnualMeanPrecipitation,116987.9963,,,,
SCCS,20,,,AnnualMeanPrecipitation,235053.3197,,,,
SCCS,21,,,AnnualMeanPrecipitation,20853.1957,,,,
SCCS,22,,,AnnualMeanPrecipitation,80352.35982,,,,
SCCS,23,,,AnnualMeanPrecipitation,87246.74111,,,,
SCCS,24,,,AnnualMeanPrecipitation,18839.6494,,,,
SCCS,25,,,AnnualMeanPrecipitation,35297.96298,,,,
SCCS,26,,,AnnualMeanPrecipitation,117300.8381,,,,
SCCS,27,,,AnnualMeanPrecipitation,77687.35904,,,,
SCCS,28,,,AnnualMeanPrecipitation,177589.0625,,,,
SCCS,29,,,AnnualMeanPrecipitation,41067.34678,,,,
SCCS,30,,,AnnualMeanPrecipitation,78687.64992,,,,
SCCS,31,,,AnnualMeanPrecipitation,103070.9455,,,,
SCCS,32,,,AnnualMeanPrecipitation,155669.8544,,,,
SCCS,33,,,AnnualMeanPrecipitation,122950.5082,,,,
SCCS,34,,,AnnualMeanPrecipitation,71294.36767,,,,
SCCS,35,,,AnnualMeanPrecipitation,71439.83592,,,,
SCCS,36,,,AnnualMeanPrecipitation,38064.71543,,,,
SCCS,37,,,AnnualMeanPrecipitation,73701.39815,,,,
SCCS,38,,,AnnualMeanPrecipitation,27176.8216,,,,
SCCS,39,,,AnnualMeanPrecipitation,6403.366568,,,,
SCCS,40,,,AnnualMeanPrecipitation,5593.443941,,,,
SCCS,41,,,AnnualMeanPrecipitation,5723.953973,,,,
SCCS,42,,,AnnualMeanPrecipitation,20103.00921,,,,
SCCS,43,,,AnnualMeanPrecipitation,2906.474282,,,,
SCCS,44,,,AnnualMeanPrecipitation,11135.91106,,,,
SCCS,45,,,AnnualMeanPrecipitation,7852.637016,,,,
SCCS,46,,,AnnualMeanPrecipitation,13405.26359,,,,
SCCS,47,,,AnnualMeanPrecipitation,56880.29399,,,,
SCCS,48,,,AnnualMeanPrecipitation,93554.7162,,,,
SCCS,49,,,AnnualMeanPrecipitation,55817.22675,,,,
SCCS,50,,,AnnualMeanPrecipitation,72670.79897,,,,
SCCS,51,,,AnnualMeanPrecipitation,132987.1573,,,,
SCCS,52,,,AnnualMeanPrecipitation,65438.05278,,,,
SCCS,53,,,AnnualMeanPrecipitation,42108.24373,,,,
SCCS,54,,,AnnualMeanPrecipitation,57571.64138,,,,
SCCS,55,,,AnnualMeanPrecipitation,64914.04306,,,,
SCCS,56,,,AnnualMeanPrecipitation,47323.33138,,,,
SCCS,57,,,AnnualMeanPrecipitation,38059.22751,,,,
SCCS,58,,,AnnualMeanPrecipitation,18854.4264,,,,
SCCS,59,,,AnnualMeanPrecipitation,52186.41206,,,,
SCCS,60,,,AnnualMeanPrecipitation,132169.3164,,,,
SCCS,61,,,AnnualMeanPrecipitation,196914.3667,,,,
SCCS,62,,,AnnualMeanPrecipitation,113006.5436,,,,
SCCS,63,,,AnnualMeanPrecipitation,83071.75491,,,,
SCCS,64,,,AnnualMeanPrecipitation,76644.6364,,,,
SCCS,65,,,AnnualMeanPrecipitation,40559.53828,,,,
SCCS,66,,,AnnualMeanPrecipitation,33814.2071,,,,
SCCS,67,,,AnnualMeanPrecipitation,108919.2477,,,,
SCCS,68,,,AnnualMeanPrecipitation,253037.7286,,,,
SCCS,69,,,AnnualMeanPrecipitation,116149.2696,,,,
SCCS,70,,,AnnualMeanPrecipitation,110430.3196,,,,
SCCS,71,,,AnnualMeanPrecipitation,101497.2786,,,,
SCCS,72,,,AnnualMeanPrecipitation,122829.7259,,,,
SCCS,73,,,AnnualMeanPrecipitation,113964.149,,,,
SCCS,74,,,AnnualMeanPrecipitation,165967.1013,,,,
SCCS,75,,,AnnualMeanPrecipitation,164642.8612,,,,
SCCS,76,,,AnnualMeanPrecipitation,149789.9338,,,,
SCCS,77,,,AnnualMeanPrecipitation,241032.2638,,,,
SCCS,78,,,AnnualMeanPrecipitation,172234.7797,,,,
SCCS,79,,,AnnualMeanPrecipitation,159977.0389,,,,
SCCS,80,,,AnnualMeanPrecipitation,184632.9103,,,,
SCCS,81,,,AnnualMeanPrecipitation,117686.558,,,,
SCCS,82,,,AnnualMeanPrecipitation,251551.5052,,,,
SCCS,83,,,AnnualMeanPrecipitation,188300.9758,,,,
SCCS,84,,,AnnualMeanPrecipitation,177016.7236,,,,
SCCS,85,,,AnnualMeanPrecipitation,241816.67,,,,
SCCS,86,,,AnnualMeanPrecipitation,210298.7677,,,,
SCCS,87,,,AnnualMeanPrecipitation,245748.5389,,,,
SCCS,88,,,AnnualMeanPrecipitation,199822.1865,,,,
SCCS,89,,,AnnualMeanPrecipitation,168015.1538,,,,
SCCS,90,,,AnnualMeanPrecipitation,148308.8129,,,,
SCCS,91,,,AnnualMeanPrecipitation,61707.63016,,,,
SCCS,92,,,AnnualMeanPrecipitation,201767.2272,,,,
SCCS,93,,,AnnualMeanPrecipitation,175932.4178,,,,
SCCS,94,,,AnnualMeanPrecipitation,330068.1364,,,,
SCCS,95,,,AnnualMeanPrecipitation,375291.9344,,,,
SCCS,96,,,AnnualMeanPrecipitation,219223.7921,,,,
SCCS,97,,,AnnualMeanPrecipitation,211328.1996,,,,
SCCS,98,,,AnnualMeanPrecipitation,206628.7631,,,,
SCCS,99,,,AnnualMeanPrecipitation,289372.4645,,,,
SCCS,100,,,AnnualMeanPrecipitation,239613.6026,,,,
