id,key,citation
abbie1957,"Abbie, 1957","Abbie, A. A. 1957. Metrical Characters of a Central Australian Tribe. Oceania 27:220-243."
adams1973,"Adams, 1973","Adams, J. W. 1973. The Gitksan Potlatch Population Flux, Resource Ownership and Reciprocity. Holt, Rinehart and Winston of Canada, Toronto."
adney1900,"Adney, 1900","Adney, T. 1900. Moose Hunting with the Tro-Kutchin. Harpers Magazine 100:495-507."
agrawal1967,"Agrawal, 1967","Agrawal, H. N. 1967. Physical Characteristics of the Shompen of Great Nicobar. Bulletin of the Anthropological Survey of India 16(1-2):83-97."
altman1987,"Altman, 1987","Altman, J. C. 1987. Hunter-Gatherers Today: An Aboriginal Economy in North Australia. Australian Institute of Aboriginal Studies, Canberra."
amsden1977,"Amsden, 1977","Amsden, C. W. 1977. A Quantitative Analysis of Nunamiut Eskimo Settlement Dynamics: 1898 to 1969. Ph.D. dissertation, Department of Anthropology, University of New Mexico, Albuerque. University Microfilms, Ann Arbor, Mich."
amundsen1908,"Amundsen, 1908","Amundsen, R. E. G. 1908. Roald Amundsen's ""The Northwest Passage."" Being the Record of a Voyage of Exploration of the Ship ""Gjoa, "" 1903-1907. 2 vols. E. P. Dutton, New York."
andersonandrobins1988,"Anderson and Robins, 1988","Anderson, C., and R. Robins. 1988. Dismissed Due to Lack of Evidence? Kuku-Yalanji Sites and the Archaeological Record. In Archaeology with Ethnography: An Australian Perspective, edited by B. Meenan and R. Jones, pp. 182-205. Australian National University, Canberra."
arima1984,"Arima, 1984","Arima, E. Y. 1984. Caribou Eskimo. In Arctic, edited by D. Damas, pp. 447-462. Handbook of North American Indians, Vol. 5. Smithsonian Institution, Washington, D.C."
aschmann1967,"Aschmann, 1967","Aschmann, H. 1967. The Central Desert of Baja California: Demography and Ecology. Manessier, Riverside, Calif."
aspelin1976,"Aspelin, 1976","Aspelin, P. L. 1976. Nambicuara Economic Dualism: Lévi-Strauss in the Garden Once Again, Bijdragen tot de taal-land-en. Volkenkunde 132:1-31."
avadhani1975,"Avadhani, 1975",Avadhani P.N. 1975. A study of the Punan Busang. Malayan Nature Journal 28 (3-4): 121-172.
baegert1863,"Baegert, 1863","Baegert, J. 1863. An Account of the Aboriginal Inhabitants of the California Peninsula. In Smithsonian Institution Annual Report, 1863, pp. 352-369. Smithsonian Institution, Washington, D.C."
