Name_on_tree_tip1,Name_on_tree_tip,xd_id,soc_id,fixed_order
1,Fefe_Grassfields,xd171,Ae5,0
2,Mungaka_Grassfields,xd170,Ae49,0
3,Bamun_Grassfields,xd172,Ae50,0
4,Kom_Grassfields,xd176,Ae54,0
5,Oku_Grassfields,,,
6,Aghem_Grassfields,,,
7,Njen_Grassfields,,,
8,Moghamo_Grassfields,xd181,Ae59,0
9,Zaambo_Jarawan,,,
10,Bwazza_Jarawan,,,
11,Mbula_Jarawan,,,
12,Bile_Jarawan,,,
13,Kulung_Jarawan,,,
14,Duguri_Jarawan,,,
15,Tiv_Tivoid,xd320,"Ah3, SCCS16",0
16,A11_Londo,,,
17,A121_Mbonge,,,
18,A122_Bakundu,xd166,Ae45,0
19,A141_Lefo,,,
20,A15_Manenguba,,,
21,A151_Nkongho,,,
22,A15A_Mbuu,,,
23,A15B_Mienge_NW_Manenguba,,,
24,A15C_Akossi,,,
25,A15C_Elung_Central_Manenguba,,,
26,A15C_Mkaa,,,
27,A22_Bakweri,xd138,Ae2,0
28,A24_Duala,xd130,Ae12,0
29,A27_Malimba,,,
30,A31_Bubi,,,
31,A32C_Batanga,xd168,Ae47,0
32,A33a_Yasa,,,
33,A34_Benga,,,
34,A41_Barombi-Kang,,,
35,A42_Abo,,,
36,A43a_Basaa,,,
37,A44_Tunen,,,
38,A45_Nyokon,,,
39,A46_Nomaande,,,
40,A462_Yambeta,,,
41,A51_Bafia_maja,,,
42,A53_Bafia_rikpa,xd169,Ae48,0
43,A54_Tibea,,,
44,A601_Tuki,,,
45,A61_Ngoro-Asom,,,
46,A61_Ngoro-Bisoo,,,
47,A61_Ngoro-lunda,,,
48,A621_Nubaca,,,
49,A622_Nugunu,,,
50,A62A_Nuasue,,,
51,A62A_Nukalonge,,,
52,A62B_Mmala,,,
53,A62C_Libie,,,
54,A63_Mangisa,,,
55,A71_Eton,,,
56,A72a_Ewondo,,,
57,A74a_Bulu,,,
58,A75a_Fang_Bitam,xd149,Ae3,0
59,A75a_Fang_Medouneu,,,
60,A75a_Fang_Minvoul,,,
61,A803_Shiwa,,,
62,A81_Kwasio,xd163,Ae42,0
63,A83_Mekaa,,,
64,A832_Bekol,,,
65,A84_Njem,,,
66,A841_Badwe,,,
67,A85b_Bekwil_Makokou,,,
68,A85b_Bekwil_Mv,,,
69,A86c_Mpiemo,,,
70,A87_Bomwali,xd164,Ae43,0
71,A91_Kwakum,,,
72,A93_Kako,,,
73,B11a_Mpongwe,xd167,Ae46,0
74,B11b_Orungu,,,
75,B11c_Galwa,,,
76,B11d_Dyumba,,,
77,B11F_Enenga,,,
78,B201_Ndasa,,,
79,B202_Sigu,,,
80,B203_Samaye,,,
81,B204_Ndambomo_Li,,,
82,B204_Ndambomo_Massoukou,,,
83,B204_Ndambomo_Mbadi,,,
84,B21_Seki,,,
85,B22a_Kele,,,
86,B22b_Koya,,,
87,B22b_Ngom,,,
88,B22E_Mwesa,,,
89,B23_Mbangwe,,,
90,B24_Wumbvu,,,
91,B25_Kota,xd162,Ae41,0
92,B251_Shake,,,
93,B252_Mahongwe,,,
94,B301_Viya,,,
95,B302_Himba,,,
96,B304_Pinzi,,,
97,B305_Vove,,,
98,B31_Tsogo,xd40,Ac16,0
99,B32_Kande,,,
100,B404_Ngubi,,,
101,B41_Shira,,,
102,B42_Sangu_Mb,,,
103,B42_Sangu_Mi,,,
104,B43_Punu,,,
105,B44_Lumbu,,,
106,B501_Wanzi_E,,,
107,B501_Wanzi_Mo,,,
108,B503_Vili,,,
109,B51_Duma,,,
110,B51_Duma_La,,,
111,B52_Nzebi,,,
112,B53_Tsaangi_Poungi,,,
113,B601_Lempini,,,
114,B602_Kaningi_Nord,,,
115,B602_Kaningi_Sud,,,
116,B62_Mbaama,,,
117,B63_Ndumu,,,
118,B701_Atsitsege,,,
119,B71a_Teke_Dj,,,
120,B71a_Teke_Os,,,
121,B71aIb_Teke_Ibali_Congo,,,
122,B71aLe_Teke_Leconi,,,
123,B77b_Fumu,,,
124,B78_Wuumu,,,
125,B81_Tiene,,,
126,B82_Buma,,,
127,B84_Mbunda,xd46,Ac21,0
128,B85_Yanzi,xd51,Ac26,0
129,B85d_Nsongo,xd50,Ac25,0
130,B85e_Mput,,,
131,B86_Dinga,xd47,Ac22,0
132,B86_Dzing,,,
133,B861_Ngul,,,
134,B862_Lwel,,,
135,B863_Pindi,,,
136,B864_Ngong,,,
137,B865_Nzadi,,,
138,C101_Babole_Dz,,,
139,C101_Babole_Ep,,,
140,C101_Babole_Ma,,,
