Name_on_tree_tip1,Name_on_tree_tip2,xd_id,iso6393,glottolog_id,MultiDialectsInDplace
1,Fefe_Grassfields,xd171,fmp,fefe1239,
2,Mungaka_Grassfields,xd170,mhk,mung1266,
3,Bamun_Grassfields,xd172,bax,bamu1253,
4,Kom_Grassfields,xd176,bkm,komc1235,
5,Oku_Grassfields,,oku,okuu1243,
6,Aghem_Grassfields,,agq,aghe1239,
7,Njen_Grassfields,,njj,njen1238,
8,Moghamo_Grassfields,xd181,mgo,meta1238,
9,Zaambo_Jarawan,,,,
10,Bwazza_Jarawan,,mbu,mbul1260,
11,Mbula_Jarawan,,mbu,mbul1260,
12,Bile_Jarawan,,bil,bile1244,
13,Kulung_Jarawan,,bbu,kulu1255,
14,Duguri_Jarawan,,dbm,dugu1249,
15,Tiv_Tivoid,xd320,tiv,tivv1240,
16,A11_Londo,,bdu,orok1266,
17,A121_Mbonge,,bdu,orok1266,
18,A122_Bakundu,xd166,bdu,orok1266,
19,A141_Lefo,,bwt,bafa1247,
20,A15_Manenguba,,mbo,mboc1235,
21,A151_Nkongho,,nkc,nkon1247,
22,A15A_Mbuu,,,,
23,A15B_Mienge_NW_Manenguba,,bsi,bass1260,
24,A15C_Akossi,,bss,akoo1248,
25,A15C_Elung_Central_Manenguba,,bss,akoo1248,
26,A15C_Mkaa,,bqz,baka1273,
27,A22_Bakweri,xd138,bri,mokp1239,
28,A24_Duala,xd130,dua,dual1243,
29,A27_Malimba,,mzd,mali1280,
30,A31_Bubi,,bbx,bubi1249,
31,A32C_Batanga,xd168,bnm,bata1285,
32,A33a_Yasa,,yko,yasa1242,
33,A34_Benga,,bng,beng1282,
34,A41_Barombi-Kang,,bbi,baro1252,
35,A42_Abo,,abb,bank1256,
36,A43a_Basaa,,bas,basa1284,
37,A44_Tunen,,baz,,
38,A45_Nyokon,,nvo,nyok1243,
39,A46_Nomaande,,lem,noma1260,
40,A462_Yambeta,,yat,yamb1252,
41,A51_Bafia_maja,,lfa,lefa1242,
42,A53_Bafia_rikpa,xd169,ksf,bafi1243,
43,A54_Tibea,,ngy,tibe1274,
44,A601_Tuki,,bag,tuki1240,
45,A61_Ngoro-Asom,,,,
46,A61_Ngoro-Bisoo,,,,
47,A61_Ngoro-lunda,,,,
48,A621_Nubaca,,baf,nuba1241,
49,A622_Nugunu,,yas,nugu1242,
50,A62A_Nuasue,,yav,yang1293,
51,A62A_Nukalonge,,yav,yang1293,
52,A62B_Mmala,,mmu,mmaa1238,
53,A62C_Libie,,ekm,elip1238,
54,A63_Mangisa,,mct,meng1263,
55,A71_Eton,,eto,eton1253,
56,A72a_Ewondo,,ewo,ewon1239,
57,A74a_Bulu,,bum,bulu1251,
58,A75a_Fang_Bitam,xd149,fan,fang1246,
59,A75a_Fang_Medouneu,,fan,fang1246,
60,A75a_Fang_Minvoul,,fan,fang1246,
61,A803_Shiwa,,mcp,maka1304,
62,A81_Kwasio,xd163,nmg,kwas1243,
63,A83_Mekaa,,mcp,maka1304,
64,A832_Bekol,,biw,kolc1235,
65,A84_Njem,,ozm,koon1245,
66,A841_Badwe,,ozm,koon1245,
67,A85b_Bekwil_Makokou,,bkw,bekw1242,
68,A85b_Bekwil_Mv,,bkw,bekw1242,
69,A86c_Mpiemo,,mcx,mpie1238,
70,A87_Bomwali,xd164,bmw,bomw1238,
71,A91_Kwakum,,kwu,kwak1266,
72,A93_Kako,,kkj,kako1242,
73,B11a_Mpongwe,xd167,mye,myen1241,
