Dataset,VarID,Code,DND.VarID_Code,CodeDescription
EA,1,0,1_0,Zero to 5 percent dependence
EA,1,1,1_1,6 to 15 percent dependence
EA,1,2,1_2,16 to 25 percent dependence
EA,1,3,1_3,26 to 35 percent dependence
EA,1,4,1_4,36 to 45 percent dependence
EA,1,5,1_5,46 to 55 percent dependence
EA,1,6,1_6,56 to 65 percent dependence
EA,1,7,1_7,66 to 75 percent dependence
EA,1,8,1_8,76 to 85 percent dependence
EA,1,9,1_9,86 to 100 percent dependence
EA,1,NA,1_NA,Missing data
EA,2,0,2_0,Zero to 5 percent dependence
EA,2,1,2_1,6 to 15 percent dependence
EA,2,2,2_2,16 to 25 percent dependence
EA,2,3,2_3,26 to 35 percent dependence
EA,2,4,2_4,36 to 45 percent dependence
EA,2,5,2_5,46 to 55 percent dependence
EA,2,6,2_6,56 to 65 percent dependence
EA,2,7,2_7,66 to 75 percent dependence
EA,2,8,2_8,76 to 85 percent dependence
EA,2,9,2_9,86 to 100 percent dependence
EA,2,NA,2_NA,Missing data
EA,3,0,3_0,Zero to 5 percent dependence
EA,3,1,3_1,6 to 15 percent dependence
EA,3,2,3_2,16 to 25 percent dependence
EA,3,3,3_3,26 to 35 percent dependence
EA,3,4,3_4,36 to 45 percent dependence
EA,3,5,3_5,46 to 55 percent dependence
EA,3,6,3_6,56 to 65 percent dependence
EA,3,7,3_7,66 to 75 percent dependence
EA,3,8,3_8,76 to 85 percent dependence
EA,3,9,3_9,86 to 100 percent dependence
EA,3,NA,3_NA,Missing data
EA,4,0,4_0,Zero to 5 percent dependence
EA,4,1,4_1,6 to 15 percent dependence
EA,4,2,4_2,16 to 25 percent dependence
EA,4,3,4_3,26 to 35 percent dependence
EA,4,4,4_4,36 to 45 percent dependence
EA,4,5,4_5,46 to 55 percent dependence
EA,4,6,4_6,56 to 65 percent dependence
EA,4,7,4_7,66 to 75 percent dependence
EA,4,8,4_8,76 to 85 percent dependence
EA,4,9,4_9,86 to 100 percent dependence
EA,4,NA,4_NA,Missing data
EA,5,0,5_0,Zero to 5 percent dependence
EA,5,1,5_1,6 to 15 percent dependence
EA,5,2,5_2,16 to 25 percent dependence
EA,5,3,5_3,26 to 35 percent dependence
EA,5,4,5_4,36 to 45 percent dependence
EA,5,5,5_5,46 to 55 percent dependence
EA,5,6,5_6,56 to 65 percent dependence
EA,5,7,5_7,66 to 75 percent dependence
EA,5,8,5_8,76 to 85 percent dependence
EA,5,9,5_9,86 to 100 percent dependence
EA,5,NA,5_NA,Missing data
EA,6,0,6_0,Missing data
EA,6,1,6_1,"Bride-price or bride-wealth, i.e., transfer of a substantial consideration in the form of livestock, goods, or money from the groom or his relatives to the kinsmen of the bride"
EA,6,2,6_2,"Dowry, i.e., transfer of a substantial amount of property from the bride's relatives to the bride, the groom, or the kinsmen of the latter"
EA,6,3,6_3,"Gift exchange, i.e., reciprocal exchange of gifts of substantial value between the relatives of the bride and groom, or a continuing exchange of goods and services in approximately equal amounts between the groom or his kinsmen and the bride's relatives"
EA,6,4,6_4,"Absence of any significant consideration, or bridal gifts only"
EA,6,5,6_5,"Bride-service, i.e., a substantial material consideration in which the principal element consists of labor or other services rendered by the groom to the bride's kinsmen"
EA,6,6,6_6,"Token bride-price, i.e., a small or symbolic payment only"
EA,6,7,6_7,"Exchange, i.e., transfer of a sister or other female relative of the groom in exchange for the bride"
EA,7,0,7_0,Missing data
EA,7,1,7_1,"Bride-price or bride-wealth, i.e., transfer of a substantial consideration in the form of livestock, goods, or money from the groom or his relatives to the kinsmen of the bride"
EA,7,2,7_2,"Dowry, i.e., transfer of a substantial amount of property from the bride's relatives to the bride, the groom, or the kinsmen of the latter"
EA,7,3,7_3,"Gift exchange, i.e., reciprocal exchange of gifts of substantial value between the relatives of the bride and groom, or a continuing exchange of goods and services in approximately equal amounts between the groom or his kinsmen and the bride's relatives"
EA,7,4,7_4,"Absence of any significant consideration, or bridal gifts only"
EA,7,5,7_5,"Bride-service, i.e., a substantial material consideration in which the principal element consists of labor or other services rendered by the groom to the bride's kinsmen"
EA,7,6,7_6,"Token bride-price, i.e., a small or symbolic payment only"
EA,7,7,7_7,"Exchange, i.e., transfer of a sister or other female relative of the groom in exchange for the bride"
EA,7,8,7_8,"No alternate mode or supplementary practices, see ""Mode of marriage (primary)"""
EA,8,0,8_0,Missing data
EA,8,1,8_1,Independent nuclear families with monogamy
EA,8,2,8_2,Independent nuclear families with occasional or limited polygyny
EA,8,3,8_3,Independent polyandrous families
EA,8,4,8_4,"Independent polygynous families, unusual co-wives pattern (either polygyny is preferentially sororal, with cowives in separate quarters or it is typically non-sororal, with cowives in same quarters "
EA,8,5,8_5,"Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters) "
EA,8,6,8_6,"Minimal extended or ""stem"" families, i.e., those consisting of only two related families of procreation (disregarding polygamous unions), particularly of adjacent generations"
EA,8,7,8_7,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head"
EA,8,8,8_8,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations"
EA,9,0,9_0,Missing data
EA,9,1,9_1,Monogamous
EA,9,2,9_2,"Polygynous, with polygyny occasional or limited"
EA,9,3,9_3,"Polygynous, with polygyny common and preferentially sororal, and co-wives not reported to occupy separate quarters"
EA,9,4,9_4,"Polygynous, with polygyny common and preferentially sororal, and co-wives typically occupying separate quarters"
EA,9,5,9_5,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives typically occupying separate quarters"
EA,9,6,9_6,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives not reported to occupy separate quarters"
EA,9,7,9_7,Polyandrous
EA,10,0,10_0,Missing data
EA,10,1,10_1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband"
EA,10,2,10_2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one."
EA,10,3,10_3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally"
EA,10,4,10_4,Optionally patrilocal (or virilocal) or avunculocal
EA,10,5,10_5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal"
EA,10,6,10_6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either"
EA,10,7,10_7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence"
EA,10,8,10_8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal"
EA,10,9,10_9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups"
EA,10,10,10_10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups"
EA,10,11,10_11,"Ambilocal, with a marked preponderance of uxorilocal practice (i.e., uxorilocal option exceeds virilocal option in actual frequency by a ratio greater than two to one). "
EA,10,12,10_12,"Ambilocal, with a marked preponderance of virilocal practice (i.e., virilocal option exceeds uxorilocal option in actual frequency by a ratio greater than two to one). "
EA,11,0,11_0,Missing data
EA,11,1,11_1,Wife to husband’s group
EA,11,2,11_2,Couple to either group or neolocal
EA,11,3,11_3,Husband to wife’s group
EA,11,9,11_9,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence"
EA,12,0,12_0,Missing data
EA,12,1,12_1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband"
EA,12,2,12_2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one."
EA,12,3,12_3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally"
EA,12,4,12_4,Optionally patrilocal (or virilocal) or avunculocal
EA,12,5,12_5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal"
EA,12,6,12_6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either"
EA,12,7,12_7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence"
EA,12,8,12_8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal"
EA,12,9,12_9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups"
EA,12,10,12_10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups"
EA,12,11,12_11,"Ambilocal, with a marked preponderance of uxorilocal practice (i.e., uxorilocal option exceeds virilocal option in actual frequency by a ratio greater than two to one). "
EA,12,12,12_12,"Ambilocal, with a marked preponderance of virilocal practice (i.e., virilocal option exceeds uxorilocal option in actual frequency by a ratio greater than two to one). "
EA,13,0,13_0,Missing data
EA,13,1,13_1,Wife to husband’s group
EA,13,2,13_2,Couple to either group or neolocal
EA,13,3,13_3,Husband to wife’s group
EA,13,4,13_4,No common residence
EA,13,9,13_9,No alternate form 
EA,14,0,14_0,Missing data
EA,14,1,14_1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband"
EA,14,2,14_2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one."
EA,14,3,14_3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally"
EA,14,4,14_4,Optionally patrilocal (or virilocal) or avunculocal
EA,14,5,14_5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal"
EA,14,6,14_6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either"
EA,14,7,14_7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence"
EA,14,8,14_8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal"
EA,14,9,14_9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups"
EA,14,10,14_10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups"
EA,14,11,14_11,No alternate form 
EA,15,0,15_0,Missing data
EA,15,1,15_1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios"
EA,15,2,15_2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent."
EA,15,3,15_3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy
EA,15,4,15_4,"Exogamous communities, i.e., those revealing a marked tendency toward local exogamy without having the specific structure of clans"
EA,15,5,15_5,Segmented communities where a marked tendency toward local exogamy is also specifically reported
EA,15,6,15_6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)"
EA,16,0,16_0,Missing data
EA,16,1,16_1,Clan communities not segmented into clan barrios
EA,16,2,16_2,Clan communities segmented into clan barrios
EA,16,9,16_9,Communites not organized as exogamous clan communities
EA,17,0,17_0,Missing data
EA,17,1,17_1,None
EA,17,2,17_2,"Absence of true patrilineal kin groups, but presence of patrilineal exogamy"
EA,17,3,17_3,"Lineages of modest size, i.e., patrilineal kin groups whose core membership is normally confined to a single community or a part thereof"
EA,17,4,17_4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community"
EA,17,5,17_5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category."
EA,17,6,17_6,"Moieties, i.e., maximal lineages when there are only two such in the society"
EA,18,0,18_0,Missing data
EA,18,1,18_1,No patrilineal exogamy
EA,18,2,18_2,"Extension of incest taboos to known patrilineal kinsmen, provided such extension does not apply generally to bilateral kinsmen of equal remoteness"
EA,18,3,18_3,"Lineages of modest size, i.e., patrilineal kin groups whose core membership is normally confined to a single community or a part thereof"
EA,18,4,18_4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community"
EA,18,5,18_5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category."
EA,18,6,18_6,"Moieties, i.e., maximal lineages when there are only two such in the society"
EA,19,0,19_0,Missing data
EA,19,1,19_1,None
EA,19,2,19_2,"Absence of true matrilineal kin groups, but presence of matrilineal exogamy"
EA,19,3,19_3,"Lineages of modest size, i.e., matrilineal kin groups whose core membership is normally confined to a single community or a part thereof"
EA,19,4,19_4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community"
EA,19,5,19_5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category."
EA,19,6,19_6,"Moieties, i.e., maximal lineages when there are only two such in the society"
EA,20,0,20_0,Missing data
EA,20,1,20_1,No matrilineal exogamy
EA,20,2,20_2,"Extension of incest taboos to known matrilineal kinsmen, provided extension does not apply generally to bilateral kinsmen of equal remoteness. "
EA,20,3,20_3,"Lineages of modest size, i.e., matrilineal kin groups whose core membership is normally confined to a single community or a part thereof"
EA,20,4,20_4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community"
EA,20,5,20_5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category."
EA,20,6,20_6,"Moieties, i.e., maximal lineages when there are only two such in the society"
EA,21,0,21_0,Missing data
EA,21,1,21_1,"Bilateral descent as inferred from the absence of reported ambilineal, matrilineal, or patrilineal kin groups, kindreds being absent or unreported"
EA,21,2,21_2,"Kindreds: bilateral descent with specifically reported kindreds, i.e., Ego-oriented bilateral kin groups or categories"
EA,21,3,21_3,"Ambilineal descent inferred from the presence of ambilocal extended families, true ramages being absent or unreported"
EA,21,4,21_4,"Ramages, i.e., ancestor-oriented ambilineal kin groups, if they are agamous, endogamous, or not specifically stated to be exogamous"
EA,21,5,21_5,Exogamous ramages specifically reported
EA,21,6,21_6,"Bilateral descent with reported or probable quasi-lineages, i.e., cognatic groups approximating the structure of lineages but based on filiation rather than on unilineal or ambilineal descent"
EA,21,9,21_9,Absence of cognatic kin groups as inferred from the presence of unilineal descent
EA,22,0,22_0,Missing data
EA,22,2,22_2,"Kindreds: bilateral descent with specifically reported kindreds, i.e., Ego-oriented bilateral kin groups or categories"
EA,22,4,22_4,"Ramages, i.e., ancestor-oriented ambilineal kin groups, if they are agamous, endogamous, or not specifically stated to be exogamous"
EA,22,9,22_9,No secondary cognatic groups
EA,23,0,23_0,Missing data
EA,23,1,23_1,"Duolateral cross-cousin marriage permitted, i.e., marriage allowed with either MoBrDa or FaSiDa but forbidden with a parallel cousin"
EA,23,2,23_2,Duolateral marriage permitted with paternal cousins only (FaBrDa or FaSiDa)
EA,23,3,23_3,Duolateral marriage permitted with maternal cousins only (MoBrDa or MoSiDa)
EA,23,4,23_4,Duolateral marriage permitted with an uncle's daughter only (FaBrDa or MoBrDa)
EA,23,5,23_5,Duolateral marriage permitted with an aunt's daughter only (FaSiDa or MoSiDa)
EA,23,6,23_6,"Unilateral: only matrilateral cross-cousin marriage permitted, i.e., with a MoBrDa"
EA,23,7,23_7,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin"
EA,23,8,23_8,"Nonlateral marriage, evidence available only for first cousins"
EA,23,9,23_9,"Unilateral: only patrilateral cross-cousin marriage permitted i.e., with a FaSiDa"
EA,23,10,23_10,"Quadrilateral marriage, i.e., marriage allowed with any first cousin"
EA,23,11,23_11,Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses
EA,23,12,23_12,Nonlateral marriage in which unions are forbidden with any first cousin but are permitted with any second cousin (or at least any who is not a lineage mate)
EA,23,13,23_13,"Trilateral marriage, i.e., marriage allowed with any first cousin except an orthocousin or lineage mate"
EA,24,0,24_0,Missing data
EA,24,1,24_1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin"
EA,24,2,24_2,"Trilateral marriage, i.e., marriage allowed with any first cousin except an orthocousin or lineage mate"
EA,24,3,24_3,Two of four first cousins marriageable
EA,24,4,24_4,One of four first cousins marriageable
EA,24,5,24_5,Nonlateral marriage in which unions are forbidden with any first cousin but are permitted with any second cousin (or at least any who is not a lineage mate)
EA,24,6,24_6,Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses
EA,24,7,24_7,Nonlateral marriage when evidence is available only for first cousins
EA,24,8,24_8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin"
EA,25,0,25_0,Missing data
EA,25,1,25_1,"Duolateral, symmetrical preference for MoBrDa or FaSiDa"
EA,25,2,25_2,"Duolateral, matrilateral preference (MoBrDa)"
EA,25,3,25_3,"Duolateral, patrilateral preference (FaSiDa)"
EA,25,4,25_4,"Duolateral, with maternal cousins only and MoBrDa preferred"
EA,25,5,25_5,Unilateral: matrilateral cross-cousin marriage to MoBrDa preferred rather than merely permitted
EA,25,6,25_6,Unilateral: patrilateral cross-cousin marriage to FaSiDa preferred rather than merely permitted
EA,25,7,25_7,"Quadrilateral, where FaBrDa is the preferred mate"
EA,25,8,25_8,"Quadrilateral, symmetrical preference (FaSiDa or MoBrDa)"
EA,25,9,25_9,"Quadrilateral, matrilateral preference (MoSi__ or MoBr__)"
EA,25,10,25_10,"Nonlateral, with preference for particular second cross-cousins only, notably MoMoBrDaDa or FaMoBrSoDa, often reported of societies with subsection systems"
EA,25,11,25_11,"Nonlateral, with second-cousin marriage preferred rather than merely permitted"
EA,25,12,25_12,"Trilateral marriage, with preference for a bilateral cross-cousin (MoBrDa = FaSiDa). "
EA,25,13,25_13,"Trilateral marriage, with preference for a matrilateral cross-cousin (MoBrDa)"
EA,25,14,25_14,"Trilateral marriage, with preference for a patrilateral cross-cousin (FaSiDa)"
EA,25,15,25_15,No preferred cousin marriages  
EA,26,0,26_0,Missing data
EA,26,1,26_1,A symmetrical cross-cousin is preferred spouse
EA,26,2,26_2,MoBrDa is preferred spouse
EA,26,3,26_3,FaSiDa is preferred spouse
EA,26,4,26_4,FaBrDa is preferred spouse
EA,26,5,26_5,A second-cousin is preferred spouse
EA,26,9,26_9,No preferred cousin marriage 
EA,27,0,27_0,Missing data
EA,27,1,27_1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)"
EA,27,2,27_2,"Descriptive or derivative, rather than elementary, terms employed for all cousins"
EA,27,3,27_3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings"
EA,27,4,27_4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings"
EA,27,5,27_5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins"
EA,27,6,27_6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch"
EA,27,7,27_7,"Sudanese, i.e., FaSiCh and MoBrCh distinguished alike from siblings, parallel cousins, and each other but without conforming to either the Crow, the descriptive, or the Omaha patterns"
EA,27,8,27_8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters."""
EA,28,0,28_0,Missing data
EA,28,1,28_1,Complete absence of agriculture
EA,28,2,28_2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon other subsistence practices"
EA,28,3,28_3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period"
EA,28,4,28_4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops"
EA,28,5,28_5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods"
EA,28,6,28_6,Intensive cultivation where it is largely dependent upon irrigation
EA,29,0,29_0,Missing data OR no lower case letter following
EA,29,1,29_1,No agriculture
EA,29,2,29_2,"Non-food crops only, e.g., cotton or tobacco"
EA,29,3,29_3,"Vegetables, e.g., cucurbits, greens, or legumes, when more important than other crops"
EA,29,4,29_4,"Tree fruits, e.g., bananas, breadfruit, coconuts, or dates, when more important than cereal grains and root crops. Sago, unless specifically reported to be cultivated, is treated as a gathered product rather than a cultivated one"
EA,29,5,29_5,"Roots or tubers, e.g., manioc, potatoes, taro, or yams, when more important than cereal grains and at least as important as tree crops or vegetables"
EA,29,6,29_6,"Cereal grains, e.g., maize, millet, rice, or wheat, when at least as important as any other type of crop"
EA,30,0,30_0,Missing data
