Variable name,,,,,,Variable name,,Detailed description,,,,,
B501_SUBPOP,,,,,2.00,"Binford's judgement about the ""character of a group's system state at the time of documentation"" i.e., was susbsistence truly through hunting, gathering, fishing, only?",3.00,Groups are either normal (n) or suspect (x) -- See p. 117 for details.,,,,,
"Binford's judgement about the ""character of a group's system state at the time of documentation"" i.e., was susbsistence truly through hunting, gathering, fishing, only?",,,,,,,,,,,,,
Groups are either normal (n) or suspect (x) -- See p. 117 for details.,,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,Page,,,,,,,,,,
x,"Normal (at time of initial contact, subsistence based exclusively on hunting, gathering and/or fishing. No domesticated resources were exploited, except perhas the dog or plant substance such as tobacco. On p. 244 refers to these as ""groups only moderately disrupted by colonial expansion"")",,117,,,,,,,,,,
n,"Suspect (some subsistence may come from exchanges with non-hg groups, in Binford's words: ""although the group may be organized similarly to hunter-gatherers, subsistence is based primariily on mutualistic articulations with non-hg peoples"")",,,,,,,,,,,,
,,,,,,,,,,,,,
B501_Gather,,,,,7,Group's dependence upon terrestrial plants,8,p.117,,,,,
Group's dependence upon terrestrial plants,,,,,,,,,,,,,
p.117,,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,,PAGE,,,,,,,,,
NA,Missing data,,,117,,,,,,,,,
Percentage,Percentage of subsistence from terrestrial plants,,,,,,,,,,,,
,,,,,,,,,,,,,
B501_Hunt,,,,,12,Group's dependence upon aquatic organisms,13,p.117,,,,,
Group's dependence upon terrestrial animals,,,,,,,,,,,,,
p.117,,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,,PAGE,,,,,,,,,
NA,Missing data,,,117,,,,,,,,,
Percentage,Percentage of subsistence from terrestrial animals,,,,,,,,,,,,
,,,,,,,,,,,,,
B501_Fish,,,,,17,Group's dependence upon terrestrial plants,18,p.117,,,,,
Group's dependence upon aquatic organisms,,,,,,,,,,,,,
p.117,,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,,PAGE,,,,,,,,,
NA,Missing data,,,117,,,,,,,,,
Percentage,Percentage of subsistence from aquatic organisms,,,,,,,,,,,,
,,,,,,,,,,,,,
B501_SUBSP,,,,,22,Food type that provides the majority of a group's nutritional intake,23,p.117,,,,,
Food type that provides the majority of a group's nutritional intake,,,,,,,,,,,,,
p.117,,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,,PAGE,,,,,,,,,
NA,Missing data,,,117,,,,,,,,,
1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,,,,,,,,,,
2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,,,,,,,,,,
3,Majority of a group's nutritional intake comes from aquatic resources,,,,,,,,,,,,
,,,,,,,,,,,,,
B501_GRPPAT,,,,,27,Mobile or (semi)-sedentary,28,p.117,,,,,
Mobile or (semi)-sedentary,,,,PAGE,,,,,,,,,
p.117,,,,117,,,,,,,,,
CODE,DESCRIPTION,NOTES,,,,,,,,,,,
NA,Missing data,,,,,,,,,,,,
1,Group is mobile and moves entire population from camp to camp as they go about the subistence round,,,,,,,,,,,,
2,Group is completely sedentary or group moves into and out of a central location that is maintained for more than one year,,,,,,,,,,,,
,,,,,,,,,,,,,
